# the byte and line start/end positions of each array in several xsp files
# (useful for seeking)
codes_300ast_20100725.xsp:6:120:BEGIN_ARRAY 1 25609
codes_300ast_20100725.xsp:25649:466045:END_ARRAY 1 25609
codes_300ast_20100725.xsp:25650:466063:BEGIN_ARRAY 2 25609
codes_300ast_20100725.xsp:51293:929727:END_ARRAY 2 25609
codes_300ast_20100725.xsp:51294:929745:BEGIN_ARRAY 3 25609
codes_300ast_20100725.xsp:76937:1395622:END_ARRAY 3 25609
codes_300ast_20100725.xsp:76938:1395640:BEGIN_ARRAY 4 25609
codes_300ast_20100725.xsp:102581:1862203:END_ARRAY 4 25609
codes_300ast_20100725.xsp:102582:1862221:BEGIN_ARRAY 5 25609
codes_300ast_20100725.xsp:128225:2327350:END_ARRAY 5 25609
codes_300ast_20100725.xsp:128226:2327368:BEGIN_ARRAY 6 25609
codes_300ast_20100725.xsp:153869:2794121:END_ARRAY 6 25609
codes_300ast_20100725.xsp:153870:2794139:BEGIN_ARRAY 7 25609
codes_300ast_20100725.xsp:179513:3259112:END_ARRAY 7 25609
codes_300ast_20100725.xsp:179514:3259130:BEGIN_ARRAY 8 25609
codes_300ast_20100725.xsp:205157:3725704:END_ARRAY 8 25609
codes_300ast_20100725.xsp:205158:3725722:BEGIN_ARRAY 9 25609
codes_300ast_20100725.xsp:230801:4191379:END_ARRAY 9 25609
codes_300ast_20100725.xsp:230802:4191397:BEGIN_ARRAY 10 25609
codes_300ast_20100725.xsp:256445:4656872:END_ARRAY 10 25609
codes_300ast_20100725.xsp:256446:4656891:BEGIN_ARRAY 11 25609
codes_300ast_20100725.xsp:282089:5122979:END_ARRAY 11 25609
codes_300ast_20100725.xsp:282090:5122998:BEGIN_ARRAY 12 25609
codes_300ast_20100725.xsp:307733:5589528:END_ARRAY 12 25609
codes_300ast_20100725.xsp:307734:5589547:BEGIN_ARRAY 13 25609
codes_300ast_20100725.xsp:333377:6055554:END_ARRAY 13 25609
codes_300ast_20100725.xsp:333378:6055573:BEGIN_ARRAY 14 25609
codes_300ast_20100725.xsp:359021:6521024:END_ARRAY 14 25609
codes_300ast_20100725.xsp:359022:6521043:BEGIN_ARRAY 15 25609
codes_300ast_20100725.xsp:384665:6987124:END_ARRAY 15 25609
codes_300ast_20100725.xsp:384666:6987143:BEGIN_ARRAY 16 25609
codes_300ast_20100725.xsp:410309:7452453:END_ARRAY 16 25609
codes_300ast_20100725.xsp:410310:7452472:BEGIN_ARRAY 17 25609
codes_300ast_20100725.xsp:435953:7919274:END_ARRAY 17 25609
codes_300ast_20100725.xsp:435954:7919293:BEGIN_ARRAY 18 25609
codes_300ast_20100725.xsp:461597:8384717:END_ARRAY 18 25609
codes_300ast_20100725.xsp:461598:8384736:BEGIN_ARRAY 19 25609
codes_300ast_20100725.xsp:487241:8849760:END_ARRAY 19 25609
codes_300ast_20100725.xsp:487242:8849779:BEGIN_ARRAY 20 25609
codes_300ast_20100725.xsp:512885:9315155:END_ARRAY 20 25609
codes_300ast_20100725.xsp:512886:9315174:BEGIN_ARRAY 21 25609
codes_300ast_20100725.xsp:538529:9780145:END_ARRAY 21 25609
codes_300ast_20100725.xsp:538530:9780164:BEGIN_ARRAY 22 25609
codes_300ast_20100725.xsp:564173:10245506:END_ARRAY 22 25609
codes_300ast_20100725.xsp:564174:10245525:BEGIN_ARRAY 23 25609
codes_300ast_20100725.xsp:589817:10710943:END_ARRAY 23 25609
codes_300ast_20100725.xsp:589818:10710962:BEGIN_ARRAY 24 25609
codes_300ast_20100725.xsp:615461:11177793:END_ARRAY 24 25609
codes_300ast_20100725.xsp:615462:11177812:BEGIN_ARRAY 25 25609
codes_300ast_20100725.xsp:641105:11644236:END_ARRAY 25 25609
codes_300ast_20100725.xsp:641106:11644255:BEGIN_ARRAY 26 25609
codes_300ast_20100725.xsp:666749:12110530:END_ARRAY 26 25609
codes_300ast_20100725.xsp:666750:12110549:BEGIN_ARRAY 27 25609
codes_300ast_20100725.xsp:692393:12577068:END_ARRAY 27 25609
codes_300ast_20100725.xsp:692394:12577087:BEGIN_ARRAY 28 25609
codes_300ast_20100725.xsp:718037:13043401:END_ARRAY 28 25609
codes_300ast_20100725.xsp:718038:13043420:BEGIN_ARRAY 29 25609
codes_300ast_20100725.xsp:743681:13509097:END_ARRAY 29 25609
codes_300ast_20100725.xsp:743682:13509116:BEGIN_ARRAY 30 25609
codes_300ast_20100725.xsp:769325:13974593:END_ARRAY 30 25609
codes_300ast_20100725.xsp:769326:13974612:BEGIN_ARRAY 31 25609
codes_300ast_20100725.xsp:794969:14441723:END_ARRAY 31 25609
codes_300ast_20100725.xsp:794970:14441742:BEGIN_ARRAY 32 25609
codes_300ast_20100725.xsp:820613:14907458:END_ARRAY 32 25609
codes_300ast_20100725.xsp:820614:14907477:BEGIN_ARRAY 33 25609
codes_300ast_20100725.xsp:846257:15373629:END_ARRAY 33 25609
codes_300ast_20100725.xsp:846258:15373648:BEGIN_ARRAY 34 25609
codes_300ast_20100725.xsp:871901:15839453:END_ARRAY 34 25609
codes_300ast_20100725.xsp:871902:15839472:BEGIN_ARRAY 35 25609
codes_300ast_20100725.xsp:897545:16303654:END_ARRAY 35 25609
codes_300ast_20100725.xsp:897546:16303673:BEGIN_ARRAY 36 25609
codes_300ast_20100725.xsp:923189:16768510:END_ARRAY 36 25609
codes_300ast_20100725.xsp:923190:16768529:BEGIN_ARRAY 37 25609
codes_300ast_20100725.xsp:948833:17233668:END_ARRAY 37 25609
codes_300ast_20100725.xsp:948834:17233687:BEGIN_ARRAY 38 25609
codes_300ast_20100725.xsp:974477:17699377:END_ARRAY 38 25609
codes_300ast_20100725.xsp:974478:17699396:BEGIN_ARRAY 39 25609
codes_300ast_20100725.xsp:1000121:18164291:END_ARRAY 39 25609
codes_300ast_20100725.xsp:1000122:18164310:BEGIN_ARRAY 40 25609
codes_300ast_20100725.xsp:1025765:18629866:END_ARRAY 40 25609
codes_300ast_20100725.xsp:1025766:18629885:BEGIN_ARRAY 41 25609
codes_300ast_20100725.xsp:1051409:19095600:END_ARRAY 41 25609
codes_300ast_20100725.xsp:1051410:19095619:BEGIN_ARRAY 42 25609
