center_name,target_name,filename,array_number,identifier,target,center,ncoeffs,interval,start_sec,numrec
Solar System Barycenter,Mercury Barycenter,de430.xsp,1,DE-0430LE-0430,1,0,14,691200,-14200401600,50224
Solar System Barycenter,Venus Barycenter,de430.xsp,2,DE-0430LE-0430,2,0,10,1382400,-14200056000,25112
Solar System Barycenter,Earth-Moon Barycenter,de430.xsp,3,DE-0430LE-0430,3,0,13,1382400,-14200056000,25112
Solar System Barycenter,Mars Barycenter,de430.xsp,4,DE-0430LE-0430,4,0,11,2764800,-14199364800,12556
Solar System Barycenter,Jupiter Barycenter,de430.xsp,5,DE-0430LE-0430,5,0,8,2764800,-14199364800,12556
Solar System Barycenter,Saturn Barycenter,de430.xsp,6,DE-0430LE-0430,6,0,7,2764800,-14199364800,12556
Solar System Barycenter,Uranus Barycenter,de430.xsp,7,DE-0430LE-0430,7,0,6,2764800,-14199364800,12556
Solar System Barycenter,Neptune Barycenter,de430.xsp,8,DE-0430LE-0430,8,0,6,2764800,-14199364800,12556
Solar System Barycenter,Pluto Barycenter,de430.xsp,9,DE-0430LE-0430,9,0,6,2764800,-14199364800,12556
Solar System Barycenter,Sun,de430.xsp,10,DE-0430LE-0430,10,0,11,1382400,-14200056000,25112
Earth-Moon Barycenter,Moon,de430.xsp,11,DE-0430LE-0430,301,3,13,345600,-14200574400,100448
Earth-Moon Barycenter,Earth,de430.xsp,12,DE-0430LE-0430,399,3,13,345600,-14200574400,100448
Mercury Barycenter,Mercury,de430.xsp,13,DE-0430LE-0430,199,1,2,34714828800,3156667200,1
Venus Barycenter,Venus,de430.xsp,14,DE-0430LE-0430,299,2,2,34714828800,3156667200,1
Venus Barycenter,Venus,de431_part-1.xsp,1,DE-0431LE-0431,299,2,2,959042764800,-133444800,1
Mercury Barycenter,Mercury,de431_part-1.xsp,2,DE-0431LE-0431,199,1,2,959042764800,-133444800,1
Earth-Moon Barycenter,Earth,de431_part-1.xsp,3,DE-0431LE-0431,399,3,13,345600,-479654654400,1205361
Earth-Moon Barycenter,Moon,de431_part-1.xsp,4,DE-0431LE-0431,301,3,13,345600,-479654654400,1205361
Solar System Barycenter,Sun,de431_part-1.xsp,5,DE-0431LE-0431,10,0,11,1382400,-479654136000,301341
Solar System Barycenter,Pluto Barycenter,de431_part-1.xsp,6,DE-0431LE-0431,9,0,6,2764800,-479653444800,150671
Solar System Barycenter,Neptune Barycenter,de431_part-1.xsp,7,DE-0431LE-0431,8,0,6,2764800,-479653444800,150671
Solar System Barycenter,Uranus Barycenter,de431_part-1.xsp,8,DE-0431LE-0431,7,0,6,2764800,-479653444800,150671
Solar System Barycenter,Saturn Barycenter,de431_part-1.xsp,9,DE-0431LE-0431,6,0,7,2764800,-479653444800,150671
Solar System Barycenter,Jupiter Barycenter,de431_part-1.xsp,10,DE-0431LE-0431,5,0,8,2764800,-479653444800,150671
Solar System Barycenter,Mars Barycenter,de431_part-1.xsp,11,DE-0431LE-0431,4,0,11,2764800,-479653444800,150671
Solar System Barycenter,Earth-Moon Barycenter,de431_part-1.xsp,12,DE-0431LE-0431,3,0,13,1382400,-479654136000,301341
Solar System Barycenter,Venus Barycenter,de431_part-1.xsp,13,DE-0431LE-0431,2,0,10,1382400,-479654136000,301341
Solar System Barycenter,Mercury Barycenter,de431_part-1.xsp,14,DE-0431LE-0431,1,0,14,691200,-479654481600,602681
Venus Barycenter,Venus,de431_part-2.xsp,1,DE-0431LE-0431,299,2,2,959042764800,-133444800,1
Mercury Barycenter,Mercury,de431_part-2.xsp,2,DE-0431LE-0431,199,1,2,959042764800,-133444800,1
