"Angular Separation Finder Calculation"
"Calculation Inputs"
"Calculation type","Angular Separation Event Finder"
"Target 1","MOON"
"Target 1 shape","Point"
"Target 2","SUN"
"Target 2 shape","Point"
"Observer","EARTH"
"Light propagation","No correction"
"Time system","TDB"
"Time format","Seconds past J2000"
"Time range","0 to 3155760000, step 1 hours"
"Coordinate condition","is local maximum"
"Output time unit","seconds"
"Complement result window","no"
"Result interval adjustment","No adjustment"
"Result interval filtering","No filtering"
"Angular Separation Finder Time Intervals"
"Start Time","Stop Time","Duration (secs)"
"    1701908.798247","    1701908.798247",0.00000000E+00
"    4248359.335925","    4248359.335925",0.00000000E+00
"    6798050.711448","    6798050.711448",0.00000000E+00
"    9351783.263669","    9351783.263669",0.00000000E+00
"   11909040.408661","   11909040.408661",0.00000000E+00
"   14468251.223191","   14468251.223191",0.00000000E+00
"   17027841.429766","   17027841.429766",0.00000000E+00
"   19586794.632797","   19586794.632797",0.00000000E+00
"   22144294.953814","   22144294.953814",0.00000000E+00
"   24699296.240508","   24699296.240508",0.00000000E+00
"   27250835.614583","   27250835.614583",0.00000000E+00
"   29798736.194749","   29798736.194749",0.00000000E+00
"   32343733.236413","   32343733.236413",0.00000000E+00
"   34886968.237234","   34886968.237234",0.00000000E+00
"   37429579.323769","   37429579.323769",0.00000000E+00
"   39972649.382551","   39972649.382551",0.00000000E+00
"   42517316.775268","   42517316.775268",0.00000000E+00
"   45064929.861282","   45064929.861282",0.00000000E+00
"   47617024.225300","   47617024.225300",0.00000000E+00
"   50174738.620625","   50174738.620625",0.00000000E+00
"   52737682.310682","   52737682.310682",0.00000000E+00
"   55303178.193971","   55303178.193971",0.00000000E+00
"   57867180.961310","   57867180.961310",0.00000000E+00
"   60426536.189994","   60426536.189994",0.00000000E+00
"   62980258.620529","   62980258.620529",0.00000000E+00
"   65528788.618644","   65528788.618644",0.00000000E+00
"   68072766.446724","   68072766.446724",0.00000000E+00
"   70612793.602346","   70612793.602346",0.00000000E+00
"   73150022.699322","   73150022.699322",0.00000000E+00
"   75686701.783689","   75686701.783689",0.00000000E+00
"   78226129.880513","   78226129.880513",0.00000000E+00
"   80771904.675451","   80771904.675451",0.00000000E+00
"   83326534.524050","   83326534.524050",0.00000000E+00
"   85889913.154225","   85889913.154225",0.00000000E+00
"   88458906.890744","   88458906.890744",0.00000000E+00
"   91028903.586277","   91028903.586277",0.00000000E+00
"   93595925.697147","   93595925.697147",0.00000000E+00
"   96157283.321620","   96157283.321620",0.00000000E+00
"   98711205.948085","   98711205.948085",0.00000000E+00
"  101256937.103390","  101256937.103390",0.00000000E+00
"  103795243.819320","  103795243.819320",0.00000000E+00
"  106328505.880620","  106328505.880620",0.00000000E+00
"  108860280.545470","  108860280.545470",0.00000000E+00
"  111394649.645850","  111394649.645850",0.00000000E+00
"  113935425.189490","  113935425.189490",0.00000000E+00
"  116485231.982760","  116485231.982760",0.00000000E+00
"  119044793.129000","  119044793.129000",0.00000000E+00
"  121612821.870190","  121612821.870190",0.00000000E+00
"  124186273.606210","  124186273.606210",0.00000000E+00
"  126760407.124810","  126760407.124810",0.00000000E+00
"  129329392.693520","  129329392.693520",0.00000000E+00
"  131888516.277100","  131888516.277100",0.00000000E+00
"  134436352.121440","  134436352.121440",0.00000000E+00
"  136974710.574740","  136974710.574740",0.00000000E+00
"  139507100.242730","  139507100.242730",0.00000000E+00
"  142037417.707340","  142037417.707340",0.00000000E+00
"  144569330.812290","  144569330.812290",0.00000000E+00
"  147106085.006630","  147106085.006630",0.00000000E+00
"  149650477.551940","  149650477.551940",0.00000000E+00
"  152204751.813450","  152204751.813450",0.00000000E+00
"  154769927.028060","  154769927.028060",0.00000000E+00
"  157344223.199800","  157344223.199800",0.00000000E+00
"  159921838.596970","  159921838.596970",0.00000000E+00
"  162494831.166350","  162494831.166350",0.00000000E+00
"  165057502.923130","  165057502.923130",0.00000000E+00
