NAME;LOCATION;DESCRIPTION;DATE;NAME CHANGE SUGGESTION;NOTE
Gilroy GarlicFest;Christmas Hill Park, Gilroy, CA 95020, United States;"The Gilroy Garlic Festival is one of the largest food festivals in the United States, held annually in Gilroy, California on the last full weekend in July at Christmas Hill Park.

? www.gilroygarlicfestival.com
? https://en.wikipedia.org/wiki/Gilroy_Garlic_Festival";Annually - last full weekend in July;;
Parents' Day;United States;"Parents' Day is a holiday similar to a combination of Father's Day and Mother's Day. In the United States, Parents' Day is held on the fourth Sunday of every July.

? https://en.wikipedia.org/wiki/Parents'_Day";Annually - fourth Sunday of every July;;
Friendship Day;International;"International Friendship Day is a day for celebrating friendship. On this day people spend time with their friends and express love for them. Exchange of Friendship Day Gifts like flowers, cards and wrist bands is a popular tradition of this occasion. International Friendship Day celebrations take place on the first Sunday of August every year.

? http://www.friendshipday.org/
? https://en.wikipedia.org/wiki/Friendship_Day";Annually - first Sunday of August;;
Youth Day;International;"International Youth Day (IYD) is an awareness day designated by the United Nations. The purpose of the day is to draw attention to a given set of cultural and legal issues surrounding youth.

? http://www.un.org/en/events/youthday/
? https://en.wikipedia.org/wiki/International_Youth_Day";Annually - 12 August;International Youth Day;
PGA Championship;United States;"The U.S. PGA Championship is an annual golf tournament.

? http://www.pga.com/pgachampionship/
? https://en.wikipedia.org/wiki/PGA_Championship";Annually - played in mid-August on the 3rd weekend prior to Labor Day weekend;;
Labor Day;United States;"Labor Day in the United States is a holiday celebrated on the first Monday in September. It is a celebration of the American labor movement and is dedicated to the social and economic achievements of workers.

? https://en.wikipedia.org/wiki/Labor_Day";Annually - First Monday in September;;
Literacy Day;Member states of the United Nations;"On International Literacy Day each year, UNESCO reminds the international community of the status of literacy and adult learning globally.

? http://internationalliteracyday.org/
? https://en.wikipedia.org/wiki/International_Literacy_Day";Annually - September 8;;
Rememberence Day;United States;"The National Day of Service and Remembrance occurs on September 11 of each year in memory of the 2,977 killed in the 2001 September 11 attacks.

? http://www.serve.gov/?q=site-page/september-11th-national-day-service-and-remembrance
? https://en.wikipedia.org/wiki/Patriot_Day";Annually - September 11;Service Day OR Remembrance Day;
Grandparents' Day;United States;"There are three purposes for National Grandparents Day:
To honor grandparents.
To give grandparents an opportunity to show love for their children's children.
To help children become aware of the strength, information and guidance older people can offer.
It's a celebration of both paternal and maternal grandparents.

? http://grandparentsday.org/
? http://legacyproject.org/guides/gpdhistory.html
? https://en.wikipedia.org/wiki/National_Grandparents_Day";Annually - First Sunday after Labor Day;;
Rosh Hashana ;International;"Rosh Hashana is the Jewish (?) New Year, it's a two-day celebration. 
Please note: Jewish holidays begin and finish at sunset. 

? https://www.hebcal.com/holidays/rosh-hashana
? https://en.wikipedia.org/wiki/Rosh_Hashanah";Annually - ten days before Yom Kippur;"?? Rosh Hashana OR 
? Rosh Hashana";The NAME is not correct since you change each year since you added the year
