"Start Date","Start Time","End Date","End Time","All day event",Subject,Description,Location,Contact,Categories
01-01-2016," 1:00 PM",01-01-2016," 3:00 PM",,"Computer Help",,,,
01-02-2016,"12:30 PM",01-02-2016," 2:30 PM",,"free Computer Help",,,,
01-03-2016,"12:00 AM",01-03-2016,"12:00 AM",1,"Center Closed",,,,
01-04-2016," 8:00 AM",01-04-2016," 5:00 PM",,"AARP Tax Aide",,,,
01-05-2016," 9:00 AM",01-05-2016,"12:00 PM",,"Open Lab",,,,
01-06-2016,"11:00 AM",01-06-2016,"12:00 PM",,"Instructor's Meeting",,,,
01-06-2016," 1:00 PM",01-06-2016," 3:00 PM",,"Open Lab",,,,
01-07-2016," 9:00 AM",01-07-2016,"12:00 PM",,"Open Lab",,,,
01-08-2016," 1:00 PM",01-08-2016," 3:00 PM",,"Computer Help",,,,
01-10-2016,"12:00 AM",01-10-2016,"12:00 AM",1,"Center Closed",,,,
01-11-2016," 8:00 AM",01-11-2016," 5:00 PM",,"AARP Tax Aide",,,,
01-12-2016," 9:00 AM",01-12-2016,"12:00 PM",,"Open Lab",,,,
01-13-2016," 1:00 PM",01-13-2016," 3:00 PM",,"Open Lab",,,,
01-14-2016," 9:00 AM",01-14-2016,"12:00 PM",,"Open Lab",,,,
01-14-2016," 7:00 PM",01-14-2016," 9:00 PM",,"Lenix (Gwen)",,,,
01-15-2016," 1:00 PM",01-15-2016," 3:00 PM",,"Computer Help",,,,
01-16-2016,"12:00 PM",01-16-2016," 3:00 PM",,"Tech Comm.",,,,
01-17-2016,"12:00 AM",01-17-2016,"12:00 AM",1,"Center Closed",,,,
01-18-2016," 8:00 AM",01-18-2016," 5:00 PM",,"AARP Tax Aide",,,,
01-19-2016," 9:00 AM",01-19-2016,"12:00 PM",,"Open Lab",,,,
01-20-2016," 1:00 PM",01-20-2016," 3:00 PM",,"Open Lab",,,,
01-21-2016," 9:00 AM",01-21-2016,"12:00 PM",,"Open Lab",,,,
01-22-2016," 8:00 AM",01-22-2016," 5:00 PM",,"AARP Tax Prep workshop",,,,
01-24-2016,"12:00 AM",01-24-2016,"12:00 AM",1,"Center Closed",,,,
01-25-2016," 8:00 AM",01-25-2016," 5:00 PM",,"AARP Tax Aide",,,,
01-26-2016," 9:00 AM",01-26-2016,"12:00 PM",,"Open Lab",,,,
01-27-2016," 1:00 PM",01-27-2016," 3:00 PM",,"Open Lab",,,,
01-28-2016," 9:00 AM",01-28-2016,"12:00 PM",,"Open Lab",,,,
01-29-2016," 8:00 AM",01-29-2016," 5:00 PM",,"AARP Tax Prep workshop",,,,
02-01-2016," 8:00 AM",02-01-2016," 5:00 PM",,"AARP  Tax Aide",,,,
02-02-2016," 9:00 AM",02-02-2016,"12:00 PM",,"Open Lab",,,,
02-03-2016,"11:00 AM",02-03-2016,"12:00 PM",,"Instructor's Meeting",,,,
02-03-2016," 1:00 PM",02-03-2016," 3:00 PM",,"Open Lab",,,,
02-04-2016," 9:00 AM",02-04-2016,"12:00 PM",,"Open Lab",,,,
