{cc: 100, y: 2173950.08355664, parea: 130270.074235475, points: 177448, x: 4653609.67428711, pop: 6995774.63888757, z: 4746857.74848323}
{cc: 104, y: 45475713.3422182, parea: 789125.395236807, points: 847311, x: -4901284.20556058, pop: 48599021.5244094, z: 16203664.916946}
{cc: 108, y: 5644928.34269026, parea: 29424.2856938607, points: 29475, x: 9840006.66675565, pop: 11363144.4336747, z: -644689.232844667}
{cc: 112, y: 2539335.54669818, parea: 239459.751489493, points: 403074, x: 4809553.92549989, pop: 9159268.43805967, z: 7365334.3129484}
{cc: 116, y: 18568648.6131307, parea: 209879.718897426, points: 215177, x: -4814920.36977818, pop: 19638608.562747, z: 4177418.17525955}
{cc: 12, y: 2181104.15036791, parea: 2692009.35737223, points: 3061911, x: 35838087.8756759, pop: 44188164.9543046, z: 25663654.5182863}
{cc: 120, y: 5731854.41424762, parea: 544904.822314778, points: 548104, x: 27429820.0329798, pop: 28232177.9357701, z: 3032092.07112239}
{cc: 124, y: -24039818.3659375, parea: 4024360.5451301, points: 8176820, x: 1240989.75974719, pop: 37316469.6601807, z: 27195886.2213406}
{cc: 132, y: -213759.592627126, parea: 5377.23087517587, points: 5593, x: 480559.521215783, pop: 546389.925294811, z: 147674.049820956}
{cc: 136, y: -71259.3694417447, parea: 462.053571700604, points: 490, x: 10920.6557493223, pop: 76392.9765278478, z: 25270.5509201045}
{cc: 140, y: 1692277.41340838, parea: 725334.102058986, points: 730428, x: 5078389.87760582, pop: 5383024.51302256, z: 510981.350241676}
{cc: 144, y: 21167098.2996392, parea: 78033.3556401514, points: 78741, x: 3570224.74073958, pop: 21639607.9295322, z: 2713105.83675005}
{cc: 148, y: 4885424.73206098, parea: 1483315.11433503, points: 1541809, x: 15467718.7249116, pop: 16592108.0285482, z: 3342321.82944732}
{cc: 152, y: -16279585.1473672, parea: 891528.191702616, points: 1156822, x: 5532532.98552607, pop: 20824027.1903934, z: -11623366.3461899}
{cc: 156, y: 1102335658.57495, parea: 8713722.81095902, points: 10834906, x: -483859662.075819, pop: 1444759455.65601, z: 767831839.617894}
{cc: 158, y: 18875599.9925174, parea: 43757.1321888258, points: 47812, x: -11317350.0369782, pop: 24134208.7454558, z: 9894689.04723998}
{cc: 16, y: -8846.78090037524, parea: 398.439586028661, points: 411, x: -53967.5193027407, pop: 56439.1263307673, z: -13949.3921746377}
{cc: 170, y: -60767201.7554075, parea: 1330416.89234259, points: 1335730, x: 16442121.2724765, pop: 63379293.9829306, z: 6480969.42742945}
{cc: 174, y: 602243.689970444, parea: 2236.73215997015, points: 2286, x: 632632.640930741, pop: 892913.448107682, z: -185262.469052601}
{cc: 175, y: 187001.34582007, parea: 625.990359676964, points: 642, x: 185892.992869796, pop: 270399.909860894, z: -59918.6001544074}
{cc: 178, y: 1058649.85257943, parea: 399237.702161501, points: 399612, x: 3898619.92553201, pop: 4049267.61608442, z: -134588.830239866}
{cc: 180, y: 46051459.7461658, parea: 2578420.39124801, points: 2589509, x: 103591296.308666, pop: 114350462.415512, z: -8346727.2906253}
{cc: 184, y: -5832.29647378165, parea: 580.800511545519, points: 610, x: -15852.5064881125, pop: 18049.2983626575, z: -6316.48964207313}
{cc: 188, y: -4733922.01608448, parea: 60950.649018478, points: 61889, x: 484325.06459833, pop: 4831970.95736109, z: 836813.583089094}
{cc: 191, y: 825590.82632702, parea: 68896.3212921559, points: 97412, x: 2816401.69799198, pop: 4167964.82626054, z: 2958009.05614669}
{cc: 192, y: -10198529.8217087, parea: 137076.45637493, points: 147490, x: 1926153.26985338, pop: 11191993.1124481, z: 4151682.62550811}
{cc: 196, y: 613856.328729143, parea: 11132.1992539036, points: 13599, x: 934290.70025008, pop: 1365047.71138191, z: 783286.740727039}
{cc: 20, y: 2267.76934468554, parea: 526.048445951193, points: 714, x: 83148.8632508544, pop: 112863.797851562, z: 76284.611535488}
{cc: 203, y: 1868563.47839883, parea: 91294.0237461129, points: 141270, x: 6725714.18380225, pop: 10826718.3633007, z: 8273149.19231437}
{cc: 204, y: 517969.837237351, parea: 134826.578208404, points: 136814, x: 12908083.7730183, pop: 13054810.9056452, z: 1834628.64226946}
{cc: 208, y: 629167.378737452, parea: 53038.684431418, points: 94731, x: 3267171.14075573, pop: 5929353.25196913, z: 4906826.08764753}
{cc: 212, y: -60362.7458505797, parea: 979.355289507791, points: 1016, x: 32974.7293280969, pop: 71339.9125921149, z: 18930.594360448}
{cc: 214, y: -10797671.7599032, parea: 56872.4286956932, points: 60114, x: 3898532.56378963, pop: 12127825.4730624, z: 3907650.47821754}
{cc: 218, y: -17361822.0572685, parea: 301979.488964061, points: 302159, x: 3286803.89543542, pop: 17682140.6563289, z: -434168.634699797}
{cc: 222, y: -6560581.19799154, parea: 24136.4089780794, points: 24846, x: 105224.569703607, pop: 6754562.15991162, z: 1602453.95038718}
{cc: 226, y: 225116.380022016, parea: 31864.9372017984, points: 31881, x: 1285066.03956309, pop: 1305930.79161815, z: 49356.0106059493}
{cc: 231, y: 63960557.5739307, parea: 1315967.54744952, points: 1332501, x: 80120327.447983, pop: 103939162.890932, z: 16270923.763207}
{cc: 232, y: 2518928.29109272, parea: 142194.239523845, points: 147516, x: 3159785.01803982, pop: 4194710.24270249, z: 1121345.04760658}
{cc: 233, y: 309544.123519935, parea: 51278.0241628432, points: 98629, x: 650184.129671608, pop: 1399289.51856145, z: 1199599.4953885}
{cc: 234, y: -2982.67487506469, parea: 2063.90845555223, points: 4406, x: 24932.8065945444, pop: 53559.681415903, z: 47308.152699906}
{cc: 238, y: -1409.47246478266, parea: 16199.6920722306, points: 26164, x: 877.911184732453, pop: 2680.45825255605, z: -2104.09691284598}
{cc: 24, y: 8965233.30909422, parea: 1459856.53920493, points: 1496493, x: 34681851.7694579, pop: 36478329.2042264, z: -6541975.62666696}
{cc: 242, y: 26418.1958023423, parea: 25048.7933374465, points: 26259, x: -885888.325836617, pop: 930498.265254279, z: -283054.863520649}
{cc: 246, y: 1121996.53428264, parea: 382406.486311478, points: 888432, x: 2414581.79892479, pop: 5623311.5774654, z: 4949518.87525115}
{cc: 248, y: 5201.41810206553, parea: 2991.21270456524, points: 6023, x: 14298.6327801119, pop: 30577.1523938707, z: 26522.6260108518}
{cc: 250, y: 2148895.42569564, parea: 640792.970256887, points: 932569, x: 46217389.284055, pop: 68029369.5662261, z: 49752729.4006021}
{cc: 254, y: -281978.746676739, parea: 97589.7221593376, points: 97832, x: 212055.025519565, pop: 354079.121929543, z: 29291.3499700575}
{cc: 258, y: -152299.967038232, parea: 9932.2513865399, points: 10366, x: -254969.408876956, pop: 311508.278234766, z: -92537.0089290382}
{cc: 262, y: 778192.82408855, parea: 25462.4363951192, points: 26007, x: 838829.675352767, pop: 1168100.63530356, z: 234854.373621173}
{cc: 266, y: 593648.393273681, parea: 309791.390249712, points: 309899, x: 2990877.43778019, pop: 3051392.03618816, z: -20738.1734911666}
{cc: 268, y: 1919889.49333192, parea: 79144.4164421418, points: 106797, x: 2008467.23036559, pop: 3736280.62000299, z: 2496785.5264443}
{cc: 270, y: -653239.235004475, parea: 12701.9675266249, points: 13060, x: 2269000.64024938, pop: 2427531.84527077, z: 562487.96981373}
{cc: 275, y: 2806728.61067494, parea: 7068.34236420904, points: 8328, x: 4018109.41403466, pop: 5765050.67518866, z: 3034830.94857646}
{cc: 276, y: 8301010.58788936, parea: 413418.336432903, points: 659084, x: 48752852.8520266, pop: 78369643.4270299, z: 60721340.873439}
{cc: 28, y: -81646.1207017838, parea: 676.992878420008, points: 709, x: 43741.9482979782, pop: 96915.2530701456, z: 28514.8160431215}
{cc: 288, y: -565224.66337423, parea: 274630.456626198, points: 277431, x: 32799179.6835938, pop: 33057891.8873699, z: 3951129.01040639}
{cc: 292, y: -2824.84773508952, parea: 18.5751507495896, points: 23, x: 30170.1154512458, pop: 37520.8022050858, z: 22126.7912554516}
{cc: 296, y: 10216.1388920843, parea: 595.677214909594, points: 596, x: -133659.351723897, pop: 135371.670550035, z: 3068.37850198809}
{cc: 300, y: 3312345.01917142, parea: 161808.789757882, points: 208237, x: 7677213.74547652, pop: 10719279.7896799, z: 6698640.62977294}
{cc: 304, y: -17985.8695032526, parea: 814.778348315289, points: 2512, x: 14910.2788583097, pop: 57741.4642286422, z: 52646.2854538607}
{cc: 308, y: -89355.1192046628, parea: 564.994047222408, points: 578, x: 48152.5943134804, pop: 103816.380481191, z: 21789.5245423126}
{cc: 31, y: 5827270.53798077, parea: 99992.0714787516, points: 131095, x: 5222035.19120425, pop: 10259201.1263609, z: 6630938.22642752}
{cc: 312, y: -360968.926993288, parea: 2225.04788458127, points: 2317, x: 195605.883931623, pop: 427560.274674986, z: 119355.538039595}
{cc: 316, y: 92737.4808377287, parea: 662.373226109146, points: 681, x: -131505.141055801, pop: 165478.998967093, z: 38592.6844688242}
{cc: 32, y: -33149226.2853098, parea: 3220052.32035248, points: 3983379, x: 18151449.0317271, pop: 45300251.3101349, z: -24612551.2151301}
{cc: 320, y: -17656105.5284462, parea: 126917.816751885, points: 131857, x: -235131.522388114, pop: 18280953.304167, z: 4723179.6767109}
{cc: 324, y: -2445585.10293881, parea: 286860.469577232, points: 291746, x: 11929762.256925, pop: 12382509.2296149, z: 2188997.01967637}
{cc: 328, y: -624018.209717919, parea: 243819.239790679, points: 244798, x: 386612.089109948, pop: 738937.365718277, z: 83532.7826886439}
