A# this file maps maps to lands... er, it converts numbers to lands
# based on EL's map numbering scheme
map3 Desert_Pines
cave1 Crystal_Caverns
cave2 Coal_Caves
cave3 PK_Cave
map11 Tarsengaard
map12 Nordcarn
map13 Southern_Kilaran
map14f Kilaran_Field
map15f Tahraji_Desert
map2 White_Stone
map5nf Valley_of_the_Dwarves
map6nf Portland
map7 Morcraven_Marsh
map8 Naralik
map9f Grubani_Peninsula
startmap Isla_Prima
map2_cave Diamond Cave
map4f Ruins_of_Tirnym
anitora Port_Anitora
cont2map1 Idaloran
map11_insmsch Magic_School
cont2map5 Palon_Vertas
cont2map9 Kusamura_Jungle
cont2map8 Emerald_Valley_Trade_Route
cont2map22 Irinveron
cont2map23 Glacmor
cont2map23_insides Glacmor_Skill_Academy
cont2map5_inmsch Palon_Vertas_Magic_School
cont2map3 Sedicolis
cont2map2 Bethel
cont2map15 North_Redmoon
cont2map16 South_Redmoon
cont2map17 Hurquin
cont2map4 Melinis
cont2map6 Thelinor
cont2map7 Irsis
cont2map9 Kusamura_Jungle
cont2map10 Zirakinbar
cont2map11 Willowvine_Forest
cont2map12 Aeth_Aelfan
cont2map13 Ergatia_Point
cont2map14 Arius
cont2map18 Trassian
cont2map19 Hulda
cont2map20 Isle_of_the_Forgotten
cont2map21 Imbroglio_Islands
cont2map24 Iscalrith
