CountyResultId,StateCode,StateSlug,StateElectoralVotes,StatePrecinctsReporting,StatePrecinctsTotal,CountyFips,CountyName,CountyTotalVotes,CountyPrecinctsTotal,CountyPrecintsReporting,EstVotesRemaining,trumpd,clintonh,johnsong,castled,steinj,Other
1,AK,alaska,3,432,442,02000,Alaska,244746,442,432,0,129786,92013,14524,3070,4394,NULL
2,AL,alabama,9,2522,2522,01087,Macon,8748,16,16,0,1394,7237,69,0,48,NULL
3,AL,alabama,9,2522,2522,01131,Wilcox,6095,36,36,0,1737,4329,22,0,7,NULL
4,AL,alabama,9,2522,2522,01037,Coosa,5223,14,14,0,3376,1780,53,0,14,NULL
5,AL,alabama,9,2522,2522,01009,Blount,25384,26,26,0,22808,2150,337,0,89,NULL
6,AL,alabama,9,2522,2522,01133,Winston,10255,20,20,0,9225,871,130,0,29,NULL
7,AL,alabama,9,2522,2522,01123,Tallapoosa,18504,28,28,0,12967,5271,217,0,49,NULL
8,AL,alabama,9,2522,2522,01053,Escambia,15213,31,31,0,10282,4698,195,0,38,NULL
9,AL,alabama,9,2522,2522,01057,Fayette,8196,29,29,0,6705,1358,109,0,24,NULL
10,AL,alabama,9,2522,2522,01049,DeKalb,26086,53,53,0,21779,3682,469,0,156,NULL
11,AL,alabama,9,2522,2522,01129,Washington,8492,20,20,0,6031,2366,73,0,22,NULL
12,AL,alabama,9,2522,2522,01095,Marshall,34965,32,32,0,29217,4913,677,0,158,NULL
13,AL,alabama,9,2522,2522,01021,Chilton,18255,20,20,0,15068,2909,226,0,52,NULL
14,AL,alabama,9,2522,2522,01091,Marengo,10948,24,24,0,5224,5607,104,0,13,NULL
15,AL,alabama,9,2522,2522,01007,Bibb,8748,10,10,0,6733,1874,124,0,17,NULL
16,AL,alabama,9,2522,2522,01075,Lamar,6931,27,27,0,5819,1035,62,0,15,NULL
17,AL,alabama,9,2522,2522,01107,Pickens,9494,35,35,0,5454,3972,49,0,19,NULL
18,AL,alabama,9,2522,2522,01079,Lawrence,14623,31,31,0,10732,3611,249,0,31,NULL
19,AL,alabama,9,2522,2522,01115,St. Clair,37937,32,32,0,31579,5550,678,0,130,NULL
20,AL,alabama,9,2522,2522,01109,Pike,13025,35,35,0,7681,5039,257,0,48,NULL
21,AL,alabama,9,2522,2522,01069,Houston,42030,29,29,0,30567,10547,772,0,144,NULL
22,AL,alabama,9,2522,2522,01045,Dale,18617,21,21,0,13798,4408,349,0,62,NULL
23,AL,alabama,9,2522,2522,01059,Franklin,11955,26,26,0,9466,2197,238,0,54,NULL
24,AL,alabama,9,2522,2522,01023,Choctaw,7268,34,34,0,4102,3109,51,0,6,NULL
25,AL,alabama,9,2522,2522,01017,Chambers,13778,23,23,0,7803,5763,168,0,44,NULL
26,AL,alabama,9,2522,2522,01089,Madison,159473,74,74,0,89199,62435,6591,0,1248,NULL
27,AL,alabama,9,2522,2522,01127,Walker,29243,47,47,0,24208,4486,454,0,95,NULL
28,AL,alabama,9,2522,2522,01013,Butler,8685,24,24,0,4891,3716,65,0,13,NULL
29,AL,alabama,9,2522,2522,01043,Cullman,37278,51,51,0,32734,3730,682,0,132,NULL
30,AL,alabama,9,2522,2522,01039,Covington,15818,27,27,0,13222,2379,181,0,36,NULL
31,AL,alabama,9,2522,2522,01035,Conecuh,6543,29,29,0,3413,3069,51,0,10,NULL
32,AL,alabama,9,2522,2522,01041,Crenshaw,6252,20,20,0,4511,1663,64,0,14,NULL
33,AL,alabama,9,2522,2522,01063,Greene,4862,16,16,0,838,4006,13,0,5,NULL
34,AL,alabama,9,2522,2522,01077,Lauderdale,38813,33,33,0,27735,9877,981,0,220,NULL
35,AL,alabama,9,2522,2522,01031,Coffee,20513,31,31,0,15825,4194,392,0,102,NULL
36,AL,alabama,9,2522,2522,01033,Colbert,24626,37,37,0,16718,7296,506,0,106,NULL
37,AL,alabama,9,2522,2522,01025,Clarke,12936,31,31,0,7109,5712,98,0,17,NULL
38,AL,alabama,9,2522,2522,01093,Marion,12912,22,22,0,11273,1432,181,0,26,NULL
39,AL,alabama,9,2522,2522,01011,Bullock,4701,17,17,0,1139,3530,22,0,10,NULL
40,AL,alabama,9,2522,2522,01071,Jackson,20785,39,39,0,16643,3663,389,0,90,NULL
41,AL,alabama,9,2522,2522,01081,Lee,57668,25,25,0,34321,20987,1998,0,362,NULL
42,AL,alabama,9,2522,2522,01121,Talladega,33218,28,28,0,20596,12108,409,0,105,NULL
43,AL,alabama,9,2522,2522,01003,Baldwin,89644,48,48,0,69431,17463,2310,0,440,NULL
44,AL,alabama,9,2522,2522,01103,Morgan,49991,42,42,0,37392,11216,1165,0,218,NULL
45,AL,alabama,9,2522,2522,01061,Geneva,11659,27,27,0,9967,1522,147,0,23,NULL
46,AL,alabama,9,2522,2522,01051,Elmore,36905,30,30,0,27619,8436,738,0,112,NULL
47,AL,alabama,9,2522,2522,01105,Perry,5255,14,14,0,1403,3823,23,0,6,NULL
48,AL,alabama,9,2522,2522,01047,Dallas,18730,31,31,0,5784,12826,96,0,24,NULL
49,AL,alabama,9,2522,2522,01119,Sumter,6391,15,15,0,1581,4739,57,0,14,NULL
50,AL,alabama,9,2522,2522,01015,Calhoun,47376,47,47,0,32803,13197,1114,0,262,NULL
51,AL,alabama,9,2522,2522,01111,Randolph,10130,28,28,0,7697,2290,124,0,19,NULL
52,AL,alabama,9,2522,2522,01027,Clay,6572,17,17,0,5230,1234,92,0,16,NULL
53,AL,alabama,9,2522,2522,01073,Jefferson,290111,363,363,0,130614,151581,6407,0,1509,NULL
54,AL,alabama,9,2522,2522,01117,Shelby,99208,49,49,0,72846,22927,2956,0,479,NULL
55,AL,alabama,9,2522,2522,01019,Cherokee,10503,25,25,0,8809,1524,145,0,25,NULL
56,AL,alabama,9,2522,2522,01083,Limestone,39400,27,27,0,28824,9340,1036,0,200,NULL
57,AL,alabama,9,2522,2522,01099,Monroe,10185,31,31,0,5771,4310,88,0,16,NULL
58,AL,alabama,9,2522,2522,01125,Tuscaloosa,81708,56,56,0,47701,31746,1871,0,390,NULL
59,AL,alabama,9,2522,2522,01113,Russell,19136,19,19,0,9210,9577,281,0,68,NULL
60,AL,alabama,9,2522,2522,01055,Etowah,43474,35,35,0,32132,10350,829,0,163,NULL
61,AL,alabama,9,2522,2522,01085,Lowndes,6676,14,14,0,1751,4882,32,0,11,NULL
