# Big Dipper

917 897
897 869
869 814
814 801
801 748
748 751
814 751

# Little Dipper

68 1245
1245 1162
1162 1068
1068 1121
1121 1033
1033 996
996 1068

# Draco

1194 1226
1226 1221
1221 1198
1194 1198
1221 1324
1324 1364
1324 1266
1266 1268
1266 1169
1169 1125
1125 1093
1093 1034
777 843
845 938
938 1034

# Bootes

989 971
971 967
967 969
969 1004
1004 1032
1032 1020
1020 1004
1020 989
989 948
948 980
980 989
948 928
928 921
921 915
969 950
950 963
963 945
945 950

# N Crown

1044 1035
1035 1039
1044 1055
1055 1063
1063 1080

# Coma Bernice's (incorrect  missing stars)

885 833
885 832
885 834

# Virgo

899 907
899 882
882 852
907 933
933 946
946 943
943 899
946 984
933 990
852 822
822 797
797 787
787 806
806 852
907 870
870 852
870 876

# Corvus (missing one star HA Rey shows)
 

836 840
836 815
836 842
842 811
815 811
811 810
842 842

# Libra

1022 993
1022 1041
1041 993
993 1005
1041 1045
1045 1047

# Scorpio

1216 1189
1193 1189
1189 1196
1196 1204
1204 1211
1211 1197
1197 1168
1168 1155
1154 1151
1151 1149
1149 1137
1137 1126
1126 1112
1112 1103
1103 1072
1072 1076
1112 1102
1102 1091
1091 1079

# Saggitarius

1375 1331
1331 1327
1375 1363
1375 1312
1312 1310
1310 1331
1312 1292
1292 1281
1281 1310
1292 1318
1318 1301
1301 1292
1318 1328
1328 1329
1281 1253
1253 1264
1264 1248
1248 1237
1237 1250
1250 1258
1258 1253
1253 1237

# S Crown

1307 1315
1315 1317
1317 1316
1316 1302

# Aquarius

1581 1582
1582 1558
1558 1551
1551 1555
1555 1581
1582 1591
1582 1576
1576 1577
1577 1572
1591 1594
1594 1600
1555 1514
1514 1498
1498 1520
1520 1535
1535 1516
1516 1498
1498 1470
1470 1500
1470 1451
1451 1440
1440 1429
1582 1555

# Capricorn

1464 1468
1468 1467
1467 1447
1447 1464
1447 1446
1446 1449
1464 1477
1477 1488
1447 1400
1400 1394
1400 1404
1404 1446
1404 1424
1424 1438

# great square of pegasus

2 6
6 1570
1570 1568
1568 2

# pegasus

1570 1573
1570 1559
1570 1548
1548 1541
1541 1506
1541 1482
1570 1549
1549 1552
1552 1546
1546 1507
1549 1502
1502 1484
1502 1485
1485 1465
1548 1502
1276 1303
1303 1320
1320 1325
1325 1305
1305 1288
1288 1257
1257 1276
1297 1305
1282 1288
1282 1297
1276 1282

# Cygnus

1422 1402
1402 1355
1402 1428
1402 1372
1372 1349
1349 1338
1428 1453
1453 1443
1443 1422
1422 1448
1443 1459
1459 1455
1422 1389
1389 1348
1348 1339
1339 1355

# saggita

1377 1357
1357 1350
1357 1351

#aguila

1369 1359
1359 1354
1354 1342
1342 1335
1335 1313
1313 1304
1335 1362
1362 1386
1335 1314
1314 1309

# hercules

1225 1242
1242 1213
1213 1192
1192 1171
1171 1170
1242 1233
1233 1244
1244 1260
1260 1283
1283 1286
1222 1183
1183 1174
1174 1225
1174 1163
1163 1143
1143 1145
1145 1174
1163 1213
1163 1130
1130 1115
1222 1207
1207 1113
1113 1100
1100 1139
1139 1207

# Cassiopeia

87 65
65 42
42 26
26 3

# Cephus

1608 1471
1471 1553
1553 1608
1471 1463
1463 1434
1434 1409
1553 1528
1528 1508
1508 1512
1512 1486
1486 1463
1508 1489

# Perseus

161 141
141 148
148 161
161 182
182 167
167 148
167 133
133 81
232 238
238 235
235 198
198 194
194 182
182 189
189 203
203 224
224 166
166 168
168 167
224 225
225 219
219 201
166 164
164 144

# Leo

678 643
643 653
653 672
672 678
678 693
693 697
697 686
686 672
686 689
686 667
697 750
750 759
759 760
760 686
759 794
760 772
772 768
760 716

# Gemini

524 508
508 523
508 495
508 488
488 484
484 442
488 466
466 430
495 472
472 448
472 499
499 505
472 440
440 424
440 418
418 411
411 401

# auriga

392 388
388 321
321 300
300 302
302 308
308 321
392 321
308 295
295 394
394 392

# cancer (slightly altered; HA Rey maps star > 5.01 mag)

609 592
592 587
587 595
592 564
564 527
527 587

# orion (slightly altered; Rey maps faint star)

407 402
402 385
385 405
405 407
407 399
399 387
387 344
344 338
352 344
296 287
287 286
286 289
289 292
338 286
387 364
364 356
356 347
347 338
364 373
347 336
336 322
364 360
360 354
354 353


# pisces (slightly altered)

56 61
61 57
57 56
57 55
55 71
71 84
84 104
104 80 
80 70
70 48
48 37
37 1623
1623 1607
1607 1596
1596 1584
1584 1595
1595 1611
1611 1607

# triangulum

110 116
116 88
88 110

# aries (altered, faint star error)

108 97
97 93
93 108
143 140 
140 134
134 143
143 154 
154 170
154 108
108 90
134 108

# cetus

135 128
128 118
118 86
86 64
64 11
11 30
30 102
102 128
30 83
135 127
127 123
123 138
138 156
156 160
160 135

# andromeda

105 74
74 52
75 51
51 38
38 44
44 52
52 25
25 2
25 24
24 34
34 45
25 23
23 10
10 1605
1604 1609
1609 1605
1605 1566
23 52

# lacerta

1534 1519
1519 1522
1522 1529
1529 1534
1529 1518
1518 1532
1532 1540
1540 1529
1532 1510
1510 1513

# lepus

350 319
319 310
310 342
342 350
319 320
320 317
319 329
350 371
371 390
390 404
404 403
403 381 
381 369
369 342

# canis major

461 468
468 456
456 461
461 443
443 434
434 457
457 463
463 464
464 470
470 467
467 443
470 482
482 496
434 420
434 428
463 417
463 447
