k,n,p1,p2,p3,p4,p5,p6
1,1,0.1666666667,0.1666666667,0.1666666667,0.1666666667,0.1666666667,0.1666666667
1,2,0.3055555556,0.2500000000,0.1944444444,0.1388888889,0.08333333333,0.02777777778
2,2,0.02777777778,0.08333333333,0.1388888889,0.1944444444,0.2500000000,0.3055555556
1,3,0.4212962963,0.2824074074,0.1712962963,0.08796296296,0.03240740741,0.004629629630
2,3,0.07407407407,0.1851851852,0.2407407407,0.2407407407,0.1851851852,0.07407407407
3,3,0.004629629630,0.03240740741,0.08796296296,0.1712962963,0.2824074074,0.4212962963
1,4,0.5177469136,0.2847222222,0.1350308642,0.05015432099,0.01157407407,0.0007716049383
2,4,0.1319444444,0.2754629630,0.2800925926,0.2013888889,0.09490740741,0.01620370370
3,4,0.01620370370,0.09490740741,0.2013888889,0.2800925926,0.2754629630,0.1319444444
4,4,0.0007716049383,0.01157407407,0.05015432099,0.1350308642,0.2847222222,0.5177469136
1,5,0.5981224280,0.2701903292,0.1004372428,0.02713477366,0.003986625514,0.0001286008230
2,5,0.1962448560,0.3428497942,0.2734053498,0.1422325103,0.04192386831,0.003343621399
3,5,0.03549382716,0.1743827160,0.2901234568,0.2901234568,0.1743827160,0.03549382716
4,5,0.003343621399,0.04192386831,0.1422325103,0.2734053498,0.3428497942,0.1962448560
5,5,0.0001286008230,0.003986625514,0.02713477366,0.1004372428,0.2701903292,0.5981224280
1,6,0.6651020233,0.2471064815,0.07216649520,0.01425325789,0.001350308642,0.00002143347051
2,6,0.2632244513,0.3856095679,0.2417909808,0.09154235254,0.01716820988,0.0006644375857
3,6,0.06228566529,0.2573302469,0.3366340878,0.2436128258,0.09143518519,0.008701989026
4,6,0.008701989026,0.09143518519,0.2436128258,0.3366340878,0.2573302469,0.06228566529
5,6,0.0006644375857,0.01716820988,0.09154235254,0.2417909808,0.3856095679,0.2632244513
6,6,0.00002143347051,0.001350308642,0.01425325789,0.07216649520,0.2471064815,0.6651020233
