date count
0101 1482
0102 1213
0103 1220
0104 1319
0105 1262
0106 1271
0107 1355
0108 1219
0109 1253
0110 1339
0111 1293
0112 1295
0113 1296
0114 1333
0115 1409
0116 1330
0117 1286
0118 1268
0119 1336
0120 1422
0121 1318
0122 1302
0123 1296
0124 1226
0125 1298
0126 1241
0127 1289
0128 1284
0129 1313
0130 1280
0131 1207
0201 1379
0202 1404
0203 1329
0204 1292
0205 1326
0206 1295
0207 1253
0208 1252
0209 1231
0210 1287
0211 1305
0212 1320
0213 1266
0214 1353
0215 1307
0216 1258
0217 1284
0218 1306
0219 1340
0220 1364
0221 1233
0222 1238
0223 1289
0224 1330
0225 1270
0226 1288
0227 1310
0228 1319
0229 325
0301 1428
0302 1313
0303 1371
0304 1318
0305 1262
0306 1318
0307 1322
0308 1345
0309 1256
0310 1363
0311 1267
0312 1262
0313 1307
0314 1278
0315 1292
0316 1300
0317 1196
0318 1244
0319 1282
0320 1323
0321 1344
0322 1232
0323 1306
0324 1292
0325 1350
0326 1243
0327 1216
0328 1269
0329 1262
0330 1175
0331 1204
0401 1321
0402 1292
0403 1310
0404 1386
0405 1272
0406 1256
0407 1270
0408 1284
0409 1244
0410 1246
0411 1272
0412 1313
0413 1219
0414 1234
0415 1321
0416 1279
0417 1210
0418 1279
0419 1248
0420 1248
0421 1200
0422 1188
0423 1212
0424 1254
0425 1177
0426 1241
0427 1134
0428 1248
0429 1249
0430 1234
0501 1296
0502 1281
0503 1306
0504 1292
0505 1308
0506 1258
0507 1228
0508 1266
0509 1179
0510 1316
0511 1194
0512 1246
0513 1280
0514 1223
0515 1400
0516 1255
0517 1247
0518 1247
0519 1276
0520 1350
0521 1324
0522 1298
0523 1237
0524 1212
0525 1303
0526 1286
0527 1256
0528 1226
0529 1261
0530 1240
0531 1197
0601 1388
0602 1352
0603 1308
0604 1330
0605 1286
0606 1308
0607 1302
0608 1248
0609 1241
0610 1275
0611 1266
0612 1217
0613 1232
0614 1226
0615 1371
0616 1212
0617 1239
0618 1282
0619 1317
0620 1336
0621 1294
0622 1260
0623 1313
0624 1301
0625 1247
0626 1276
0627 1315
0628 1338
0629 1344
0630 1365
0701 1444
0702 1344
0703 1323
0704 1265
0705 1270
0706 1381
0707 1463
0708 1342
0709 1351
0710 1402
0711 1310
0712 1338
0713 1365
0714 1376
0715 1429
0716 1343
0717 1423
0718 1278
0719 1349
0720 1412
0721 1332
0722 1331
0723 1346
0724 1367
0725 1368
0726 1302
0727 1380
0728 1394
0729 1370
0730 1353
0731 1397
0801 1462
0802 1349
0803 1362
0804 1395
0805 1299
0806 1371
0807 1412
0808 1473
0809 1370
0810 1433
0811 1380
0812 1479
0813 1309
0814 1353
0815 1559
0816 1381
0817 1345
0818 1358
0819 1368
0820 1436
0821 1362
0822 1376
0823 1371
0824 1389
0825 1402
0826 1395
0827 1327
0828 1404
0829 1391
0830 1308
0831 1361
0901 1389
0902 1339
0903 1381
0904 1314
0905 1434
0906 1353
0907 1310
0908 1367
0909 1383
0910 1409
0911 1366
0912 1373
0913 1320
0914 1385
0915 1522
0916 1432
0917 1429
0918 1418
0919 1442
0920 1435
0921 1492
0922 1482
0923 1419
0924 1397
0925 1395
0926 1445
0927 1430
0928 1484
0929 1422
0930 1345
1001 1470
1002 1414
1003 1435
1004 1447
1005 1450
1006 1357
1007 1357
1008 1432
1009 1430
1010 1466
1011 1290
1012 1384
1013 1357
1014 1315
1015 1425
1016 1340
1017 1305
1018 1328
1019 1335
1020 1380
1021 1322
1022 1274
1023 1323
1024 1278
1025 1241
1026 1290
1027 1280
1028 1335
1029 1259
1030 1264
1031 1291
1101 1412
1102 1278
1103 1331
1104 1359
1105 1254
1106 1311
1107 1244
1108 1224
1109 1307
1110 1340
1111 1339
1112 1350
1113 1286
1114 1278
1115 1395
1116 1311
1117 1327
1118 1278
1119 1281
1120 1352
1121 1244
1122 1297
1123 1260
1124 1238
1125 1290
1126 1237
1127 1243
1128 1313
1129 1273
1130 1288
1201 1350
1202 1305
1203 1286
1204 1377
1205 1310
1206 1359
1207 1305
1208 1289
1209 1290
1210 1320
1211 1259
1212 1404
1213 1339
1214 1270
1215 1380
1216 1279
1217 1314
1218 1352
1219 1254
1220 1292
1221 1218
1222 1333
1223 1179
1224 1193
1225 1216
1226 1126
1227 1256
1228 1426
1229 1332
1230 1355
1231 1352
total 481040
