STATEFP,STNAME,POPULATION,LATITUDE,LONGITUDE
01,Alabama,4779736,+33.008097,-086.756826
02,Alaska,710231,+61.399882,-148.873973
04,Arizona,6392017,+33.368266,-111.864310
05,Arkansas,2915918,+35.142580,-092.655243
06,California,37253956,+35.463595,-119.325359
08,Colorado,5029196,+39.513420,-105.208056
09,Connecticut,3574097,+41.497001,-072.870342
10,Delaware,897934,+39.358946,-075.556835
11,District of Columbia,601723,+38.910270,-077.014468
12,Florida,18801310,+27.822726,-081.634654
13,Georgia,9687653,+33.376825,-083.882712
15,Hawaii,1360301,+21.115289,-157.484404
16,Idaho,1567582,+44.218532,-115.178681
17,Illinois,12830632,+41.286759,-088.390334
18,Indiana,6483802,+40.149246,-086.259514
19,Iowa,3046355,+41.946066,-093.036629
20,Kansas,2853118,+38.464949,-096.462812
21,Kentucky,4339367,+37.824499,-085.248467
22,Louisiana,4533372,+30.722814,-091.508833
23,Maine,1328361,+44.299950,-069.736482
24,Maryland,5773552,+39.140769,-076.797763
25,Massachusetts,6547629,+42.272291,-071.363370
26,Michigan,9883640,+42.873187,-084.203434
27,Minnesota,5303925,+45.203555,-093.571903
28,Mississippi,2967297,+32.590954,-089.579514
29,Missouri,5988927,+38.423798,-092.198469
30,Montana,989415,+46.787064,-111.296213
31,Nebraska,1826341,+41.174300,-097.315578
32,Nevada,2700551,+37.043481,-116.191720
33,New Hampshire,1316470,+43.154858,-071.461974
34,New Jersey,8791894,+40.431810,-074.432208
35,New Mexico,2059179,+34.632744,-106.354349
36,New York,19378102,+41.501299,-074.620909
37,North Carolina,9535483,+35.543075,-079.658232
38,North Dakota,672591,+47.348468,-099.309504
39,Ohio,11536504,+40.455191,-082.773339
40,Oklahoma,3751351,+35.598464,-096.836786
41,Oregon,3831074,+44.743243,-122.585214
42,Pennsylvania,12702379,+40.456756,-077.009680
44,Rhode Island,1052567,+41.753609,-071.450869
45,South Carolina,4625364,+34.025176,-081.011022
46,South Dakota,814180,+44.014397,-099.002355
47,Tennessee,6346105,+35.808090,-086.359136
48,Texas,25145561,+30.905244,-097.365594
49,Utah,2763885,+40.401359,-111.927035
50,Vermont,625741,+44.094874,-072.816417
51,Virginia,8001024,+37.810313,-077.811160
53,Washington,6724540,+47.330750,-121.619994
54,West Virginia,1852994,+38.795594,-080.731308
55,Wisconsin,5686986,+43.721933,-089.018997
56,Wyoming,563626,+42.697026,-107.019126
72,Puerto Rico,3725789,+18.280422,-066.346513
