country1,country2,border_length_in_meters
Italy,Vatican,427.195941418038
Gibraltar,Spain,1765.24970391806
Azerbaijan,Turkey,7631.68956428401
France,Monaco,9536.63067813061
Cyprus U.N. Buffer Zone,Dhekelia,9992.75784200159
Saint-Martin,Sint Maarten,10020.3831435915
Egypt,Palestine,12338.1502248379
Croatia,Montenegro,17911.211626283
China,Hong Kong,18010.9613651928
Morocco,Spain,21492.8141932571
Cuba,US Naval Base Guantanamo Bay,25160.2224497951
Austria,Liechtenstein,27080.1248167283
Italy,San Marino,29309.417704083
Dem. Rep. Korea,Russian Federation,31453.8431395548
Liechtenstein,Switzerland,32143.2231871629
Armenia,Iran,35361.6630087533
Algeria,Western Sahara,41667.552518703
Akrotiri,Cyprus,43974.5000863672
Cyprus,Dhekelia,44375.6323820678
Dhekelia,Northern Cyprus,44576.6473103309
Andorra,France,45868.3534917844
Andorra,Spain,50739.4031923416
France,Luxembourg,50772.7993891502
Qatar,Saudi Arabia,53310.512591655
Denmark,Germany,55948.8313575647
Kosovo,Montenegro,58488.1563026658
Djibouti,Somaliland,64227.0924310118
Pakistan,Siachen Glacier,64352.3179705518
Hungary,Slovenia,67920.4249720555
Macedonia,Serbia,74718.6446217996
India,Siachen Glacier,80586.6514951093
Austria,Slovakia,81866.3607421335
Afghanistan,China,84119.3447960887
Chad,Nigeria,85174.5298280228
Slovakia,Ukraine,87029.7671973879
Lithuania,Poland,87473.0102167081
Israel,Syria,89445.1477407633
Hungary,Ukraine,97725.5274116584
Albania,Kosovo,97726.771473678
Israel,Lebanon,98401.4043247878
China,Siachen Glacier,101889.540434845
Germany,Luxembourg,102487.772794234
eSwatini,Mozambique,108211.756209866
Belgium,Luxembourg,109998.272299958
Jordan,Palestine,111574.268738276
Djibouti,Eritrea,111747.511867341
Belgium,Germany,115335.045136642
Burkina Faso,Togo,128635.958185013
Hungary,Serbia,131694.530756185
Kosovo,Macedonia,132708.762251017
Belarus,Latvia,135863.405075038
Afghanistan,Uzbekistan,136742.658362575
Austria,Switzerland,137323.894341889
Rwanda,Uganda,138964.587943216
Montenegro,Serbia,140023.891813099
Bulgaria,Macedonia,141957.623774202
Cyprus U.N. Buffer Zone,Northern Cyprus,146272.305974182
Belize,Mexico,153989.688649442
El Salvador,Guatemala,156544.749644044
Albania,Macedonia,156699.444406082
Albania,Montenegro,159003.169467922
Armenia,Georgia,159676.449095298
Chile,Peru,161604.960782778
Cyprus,Cyprus U.N. Buffer Zone,162775.494299341
Norway,Russian Federation,165097.813165816
Angola,Republic of the Congo,173497.156412209
Greece,Turkey,180025.460405191
Cameroon,Equatorial Guinea,180355.029010258
Iraq,Jordan,180427.30218042
Bangladesh,Myanmar,183031.72686073
Italy,Slovenia,183478.65742494
Bulgaria,Turkey,197478.088558323
Lithuania,Russian Federation,200494.586475869
Iraq,Kuwait,200777.445955088
Democratic Republic of the Congo,Rwanda,202963.045721733
Egypt,Israel,203606.96065458
Dem. Rep. Korea,Republic of Korea,203885.156225708
Czech Republic,Slovakia,205809.576325045
Poland,Russian Federation,206228.509853152
Bosnia and Herzegovina,Montenegro,206526.958098066
Indonesia,Timor-Leste,208370.126655336
Latvia,Russian Federation,212930.242348333
Greece,Macedonia,213641.504179889
Rwanda,Tanzania,216859.947827859
South Africa,Zimbabwe,218301.213884967
Burundi,Democratic Republic of the Congo,218740.13839903
Albania,Greece,220749.853733215
Kuwait,Saudi Arabia,220803.445701946
Guatemala,Honduras,222649.657574624
Namibia,Zambia,224941.554863809
Croatia,Serbia,227746.257273777
Lao PDR,Myanmar,229065.730578029
Benin,Niger,232538.6068497
Georgia,Turkey,235727.844278482
Austria,Slovenia,242076.580500821
