# From the Bright Star Catalogue, 5th Revised Ed.,
# available online through VizieR.

# Only the first three columns (Dec, RA, Mag) are used by Xplanet.

#    Dec      RA   Mag         Name  BSN     HD    SAO
-16.7161  6.7525 -1.46 "  9Alp CMa" 2491  48915 151881
-52.6958  6.3992 -0.72 "   Alp Car" 2326  45348 234480
 19.1825 14.2610 -0.04 " 16Alp Boo" 5340 124897 100944
-60.8353 14.6600 -0.01 "   Alp1Cen" 5459 128620 252838
 38.7836 18.6156  0.03 "  3Alp Lyr" 7001 172167  67174
 45.9981  5.2782  0.08 " 13Alp Aur" 1708  34029  40186
 -8.2017  5.2423  0.12 " 19Bet Ori" 1713  34085 131907
  5.2250  7.6550  0.38 " 10Alp CMi" 2943  61421 115756
-57.2367  1.6286  0.46 "   Alp Eri"  472  10144 232481
  7.4069  5.9195  0.50 " 58Alp Ori" 2061  39801 113271
-60.3731 14.0637  0.61 "   Bet Cen" 5267 122451 252582
  8.8683 19.8464  0.77 " 53Alp Aql" 7557 187642 125122
 16.5092  4.5987  0.85 " 87Alp Tau" 1457  29139  94027
-26.4319 16.4901  0.96 " 21Alp Sco" 6134 148478 184415
-11.1614 13.4199  0.98 " 67Alp Vir" 5056 116658 157923
 28.0261  7.7553  1.14 " 78Bet Gem" 2990  62509  79666
-29.6222 22.9609  1.16 " 24Alp PsA" 8728 216956 191524
 45.2803 20.6905  1.25 " 50Alp Cyg" 7924 197345  49941
-59.6886 12.7953  1.25 "   Bet Cru" 4853 111123 240259
-60.8356 14.6600  1.33 "   Alp2Cen" 5460 128621      0
-63.0992 12.4433  1.33 "   Alp1Cru" 4730 108248 251904
 11.9672 10.1395  1.35 " 32Alp Leo" 3982  87901  98967
-28.9722  6.9771  1.50 " 21Eps CMa" 2618  52089 172676
-37.1039 17.5601  1.63 " 35Lam Sco" 6527 158926 208954
-57.1133 12.5194  1.63 "   Gam Cru" 4763 108903 240019
  6.3497  5.4189  1.64 " 24Gam Ori" 1790  35468 112740
 28.6075  5.4382  1.65 "112Bet Tau" 1791  35497  77168
-69.7172  9.2200  1.68 "   Bet Car" 3685  80007 250495
 -1.2019  5.6036  1.70 " 46Eps Ori" 1903  37128 132346
-63.0994 12.4435  1.73 "   Alp2Cru" 4731 108249      0
-46.9611 22.1372  1.74 "   Alp Gru" 8425 209952 230992
 55.9597 12.9005  1.77 " 77Eps UMa" 4905 112185  28553
-47.3367  8.1589  1.78 "   Gam2Vel" 3207  68273 219504
 49.8611  3.4054  1.79 " 33Alp Per" 1017  20902  38787
 61.7508 11.0621  1.79 " 50Alp UMa" 4301  95689  15384
-26.3933  7.1399  1.84 " 25Del CMa" 2693  54605 173047
-34.3847 18.4029  1.85 " 20Eps Sgr" 6879 169022 210091
 49.3133 13.7923  1.86 " 85Eta UMa" 5191 120315  44752
-59.5097  8.3752  1.86 "   Eps Car" 3307  71129 235932
-42.9978 17.6220  1.87 "   The Sco" 6553 159532 228201
 44.9475  5.9921  1.90 " 34Bet Aur" 2088  40183  40750
-69.0278 16.8111  1.92 "   Alp TrA" 6217 150798 253700
 16.3992  6.6285  1.93 " 24Gam Gem" 2421  47105  95912
-56.7350 20.4275  1.94 "   Alp Pav" 7790 193924 246574
-54.7083  8.7451  1.96 "   Del Vel" 3485  74956 236232
 -8.6586  9.4598  1.98 " 30Alp Hya" 3748  81797 136871
 31.8883  7.5767  1.98 " 66Alp Gem" 2891  60179      0
-17.9558  6.3783  1.98 "  2Bet CMa" 2294  44743 151428
 23.4625  2.1196  2.00 " 13Alp Ari"  617  12929  75151
 25.9203 15.9917  2.00 "          " 5958 143454  84129
 89.2642  2.5302  2.02 "  1Alp UMi"  424   8890    308
-26.2967 18.9211  2.02 " 34Sig Sgr" 7121 175191 187448
-17.9867  0.7265  2.04 " 16Bet Cet"  188   4128 147420
 -1.9428  5.6793  2.05 " 50Zet Ori" 1948  37742 132444
 -9.6697  5.7959  2.06 " 53Kap Ori" 2004  38771 132542
 29.0906  0.1398  2.06 " 21Alp And"   15    358  73765
 35.6206  1.1622  2.06 " 43Bet And"  337   6860  54471
-36.3700 14.1114  2.06 "  5The Cen" 5288 123139 205188
 12.5600 17.5822  2.08 " 55Alp Oph" 6556 159561 102932
 74.1556 14.8451  2.08 "  7Bet UMi" 5563 131873   8102
-46.8847 22.7111  2.10 "   Bet Gru" 8636 214952 231258
 40.9556  3.1361  2.12 " 26Bet Per"  936  19356  38592
 14.5719 11.8177  2.14 " 94Bet Leo" 4534 102647  99809
-48.9597 12.6919  2.17 "   Gam Cen" 4819 110304 223603
 40.2567 20.3705  2.20 " 37Gam Cyg" 7796 194093  49528
-43.4325  9.1333  2.21 "   Lam Vel" 3634  78647 220878
 -0.2992  5.5334  2.23 " 34Del Ori" 1852  36486 132220
 26.7147 15.5781  2.23 "  5Alp CrB" 5793 139006  83893
 51.4889 17.9434  2.23 " 33Gam Dra" 6705 164058  30653
 56.5372  0.6751  2.23 " 18Alp Cas"  168   3712  21609
-40.0033  8.0598  2.25 "   Zet Pup" 3165  66811 198752
-59.2753  9.2848  2.25 "   Iot Car" 3699  80404 236808
 42.3297  2.0650  2.26 " 57Gam1And"  603  12533  37734
 54.9253 13.3987  2.27 " 79Zet UMa" 5054 116656  28737
 59.1497  0.1530  2.27 " 11Bet Cas"   21    432  21133
-34.2933 16.8361  2.29 " 26Eps Sco" 6241 151680 208078
-47.3883 14.6988  2.30 "   Alp Lup" 5469 129056 225128
-53.4664 13.6648  2.30 "   Eps Cen" 5132 118716 241047
-42.1578 14.5918  2.31 "   Eta Cen" 5440 127972 225044
-22.6217 16.0056  2.32 "  7Del Sco" 5953 143275 184014
 56.3825 11.0307  2.37 " 48Bet UMa" 4295  95418  27876
  9.8750 21.7364  2.39 "  8Eps Peg" 8308 206778 127029
-42.3061  0.4381  2.39 "   Alp Phe"   99   2261 215093
-39.0300 17.7081  2.41 "   Kap Sco" 6580 160578 209163
 28.0828 23.0629  2.42 " 53Bet Peg" 8775 217906  90981
-15.7247 17.1730  2.43 " 35Eta Oph" 6378 155125 160332
 53.6947 11.8972  2.44 " 64Gam UMa" 4554 103287  28179
 62.5856 21.3097  2.44 "  5Alp Cep" 8162 203280  19302
-29.3031  7.4016  2.45 " 31Eta CMa" 2827  58350 173651
 33.9703 20.7702  2.46 " 53Eps Cyg" 7949 197989  70474
 60.7167  0.9451  2.47 " 27Gam Cas"  264   5394  11482
 15.2053 23.0794  2.49 " 54Alp Peg" 8781 218045 108378
